MWBC,STATE,COUNTY,LAKE,AREA,YEAR,DATE,AGE0CPE,AGE1CPE,AGENCY,CODE,CRNTCODE,MILESURV,SHORMILE,PERCSURV,AGE0WAE,AGE0MINL,AGE0MAXL,AGE0AVEL,AGE1WAE,AGE1MINL,AGE1MAXL,AGE1AVEL,TOTALWAE,MUE,NOP,LMB,SMB,COMMENT,TEMP,CLARITY,RELIABLE,HOURS,OLDMILES,FORMMILE,MILESRCE,SHCKABLE,ALLSURV,MONTH,DAY,WDNRTYPE,ALLSHSRV
2339900,WI,VILAS,ESCANABA L,293,1962,9/13/1962,36.2068966,NA,WDNR,NR,NR,5.22,5.22,100,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,68,NA,,NA,5.22,5.22,,NA,Y,9,13,,
2339900,WI,VILAS,ESCANABA L,293,1962,9/14/1962,43.8697318,NA,WDNR,NR,NR,5.22,5.22,100,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,67,NA,,NA,5.22,5.22,,NA,Y,9,14,,
2339900,WI,VILAS,ESCANABA L,293,1962,10/2/1962,81.9923372,NA,WDNR,NR,NR,5.22,5.22,100,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,60,NA,,NA,5.22,5.22,,NA,Y,10,2,,
2339900,WI,VILAS,ESCANABA L,293,1962,10/9/1962,82.7586207,NA,WDNR,NR,NR,5.22,5.22,100,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,58,NA,,NA,5.22,5.22,,NA,Y,10,9,,
2339900,WI,VILAS,ESCANABA L,293,1962,10/16/1962,19.348659,NA,WDNR,NR,NR,5.22,5.22,100,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,55,NA,,NA,5.22,5.22,,NA,Y,10,16,,
2339900,WI,VILAS,ESCANABA L,293,1963,9/17/1963,31.6091954,4.2145594,WDNR,NR,NR,5.22,5.22,100,165,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,,64,NA,,NA,5.22,5.22,,NA,Y,9,17,,
2339900,WI,VILAS,ESCANABA L,293,1963,10/1/1963,97.1264368,7.0881226,WDNR,NR,NR,5.22,5.22,100,507,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,,60,NA,,NA,5.22,5.22,,NA,Y,10,1,,
2339900,WI,VILAS,ESCANABA L,293,1963,10/3/1963,114.1762452,4.2145594,WDNR,NR,NR,5.22,5.22,100,596,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,,58,NA,,NA,5.22,5.22,,NA,Y,10,3,,
2339900,WI,VILAS,ESCANABA L,293,1963,10/8/1963,111.4942529,4.5977011,WDNR,NR,NR,5.22,5.22,100,582,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,,60,NA,,NA,5.22,5.22,,NA,Y,10,8,,
2339900,WI,VILAS,ESCANABA L,293,1963,10/9/1963,75.2873563,3.6398467,WDNR,NR,NR,5.22,5.22,100,393,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,,61,NA,,NA,5.22,5.22,,NA,Y,10,9,,
2339900,WI,VILAS,ESCANABA L,293,1963,10/16/1963,146.5517241,8.4291188,WDNR,NR,NR,5.22,5.22,100,765,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,,60,NA,,NA,5.22,5.22,,NA,Y,10,16,,
2339900,WI,VILAS,ESCANABA L,293,1964,9/8/1964,320.8812261,NA,WDNR,NR,NR,5.22,5.22,100,1675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,67,NA,,NA,5.22,5.22,,NA,Y,9,8,,
2339900,WI,VILAS,ESCANABA L,293,1964,9/9/1964,168.5823755,NA,WDNR,NR,NR,5.22,5.22,100,880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,66,NA,,NA,5.22,5.22,,NA,Y,9,9,,
2339900,WI,VILAS,ESCANABA L,293,1964,9/10/1964,236.2068966,NA,WDNR,NR,NR,5.22,5.22,100,1233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,66,NA,,NA,5.22,5.22,,NA,Y,9,10,,
2339900,WI,VILAS,ESCANABA L,293,1964,9/17/1964,293.1034483,NA,WDNR,NR,NR,5.22,5.22,100,1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,60,NA,,NA,5.22,5.22,,NA,Y,9,17,,
2339900,WI,VILAS,ESCANABA L,293,1964,10/2/1964,325.0957854,NA,WDNR,NR,NR,5.22,5.22,100,1697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,54,NA,,NA,5.22,5.22,,NA,Y,10,2,,
